7.504,7.504,4.574,2.707,7.504
7.504,7.431,3.551,10.771,12.592
2.799,2.863,4.949,7.431,3.307
2.707,7.365,2.755,7.504,7.504
5.321,4.738,7.431,8.542,10.646
7.431,6.470,3.411,7.504,10.646
7.504,2.362,3.042,8.542,2.411
3.206,8.542,10.646,7.504,8.542
7.732,7.504,6.012,3.373,8.542
3.411,7.504,3.779,4.949,2.799
7.504,4.314,8.542,7.431,7.504
4.500,3.769,8.542,3.769,4.100
2.807,3.373,7.504,4.574,7.586
7.504,7.504,3.702,2.844,8.542
7.504,4.500,3.702,7.431,3.769
10.771,8.542,2.199,7.504,7.504
8.542,7.504,2.807,4.949,7.504
4.942,7.504,2.400,7.504,7.431
4.949,3.769,3.702,3.502,8.542
2.612,6.470,7.431,3.055,7.504
4.850,4.949,7.431,8.542,7.504
7.504,10.646,4.850,4.949,8.542
7.504,3.769,10.646,8.818,7.504
3.112,8.542,3.748,3.844,7.431
4.949,7.431,8.818,10.771,7.504
