1.644,2.268,2.922,3.840,3.276,2.509,4.567,3.569,7.428,1.897,5.559,4.300,3.135,4.258,3.798,1.384,1.643,2.456,3.070,3.685
2.542,12.878,8.060,12.336,5.379,4.209,3.987,5.838,3.148,4.666,2.395,3.943,3.036,4.634,2.175,6.685,8.883,1.156,2.660,1.840
2.471,2.378,6.510,2.759,3.817,2.426,10.059,5.687,3.636,6.704,4.745,3.584,6.646,2.404,3.702,3.750,2.227,7.021,2.642,2.449
3.367,2.979,1.838,3.367,5.422,4.977,6.334,5.153,13.057,6.170,4.655,60.206,3.260,10.781,3.627,6.239,3.039,4.647,2.062,8.616
1.905,1.659,3.593,3.665,2.679,2.657,3.098,4.115,12.848,10.784,1.986,4.987,3.166,5.490,10.449,1.885,5.593,4.996,5.342,2.158
2.490,1.988,3.133,4.853,5.378,5.345,4.400,2.388,4.364,6.437,3.835,1.510,4.767,4.885,5.391,4.280,1.972,3.698,5.508,4.453
3.284,2.055,3.334,2.631,3.060,1.956,4.575,12.677,1.805,3.147,3.338,6.995,3.263,1.467,8.732,2.494,10.283,5.425,7.534,7.123
4.227,7.926,3.723,7.872,3.020,3.545,3.856,1.912,2.367,1.811,3.251,1.610,2.669,3.880,4.242,2.862,2.910,2.394,6.458,127.112
3.503,4.874,2.809,4.660,27.445,29.563,1.873,3.109,2.921,6.788,2.462,4.365,5.517,3.177,4.421,1.371,1.989,2.966,4.550,10.589
2.586,6.692,5.407,4.550,3.326,3.115,2.955,1.502,7.361,25.286,7.184,11.056,5.443,4.226,7.670,6.005,13.315,2.228,3.464,17.148
3.600,4.933,3.689,2.712,3.662,6.675,2.273,4.367,1.721,5.669,17.233,3.465,5.199,1.689,3.709,6.018,5.545,2.334,15.975,2.049
3.519,11.570,3.347,29.856,2.148,3.346,2.810,1.780,3.229,1.850,13.466,2.025,5.506,3.382,1.636,1.905,7.292,7.472,4.315,14.321
4.959,1.829,45.274,3.113,3.206,2.235,1.897,11.450,3.790,2.271,2.560,2.694,1.856,8.800,2.802,8.734,3.548,2.792,2.841,2.358
18.801,1.571,2.501,5.521,4.280,4.217,7.407,4.926,8.166,5.129,3.916,5.292,8.830,4.049,3.122,4.440,10.736,1.521,2.808,1.578
3.760,3.655,2.247,6.233,16.412,5.513,16.675,3.412,10.946,4.509,6.547,3.272,5.544,2.760,4.465,3.186,3.538,1.695,3.605,3.864
2.673,2.467,1.556,2.110,4.601,6.428,3.885,16.009,4.487,2.740,28.870,4.163,4.187,8.953,7.808,5.157,3.289,3.034,4.992,4.720
5.382,5.021,3.576,2.973,2.398,3.251,9.396,3.612,13.750,7.130,5.500,4.057,5.104,12.468,22.737,2.044,3.270,4.866,7.483,2.525
2.402,3.378,2.081,11.965,6.431,1.748,6.980,3.622,4.633,2.807,3.427,2.164,3.456,9.133,9.902,2.407,2.892,3.868,4.438,2.946
5.436,9.631,2.985,3.115,6.290,7.381,2.701,2.406,14.961,3.938,4.332,2.377,2.766,4.174,7.661,2.612,3.495,2.175,3.896,16.815
4.076,14.581,4.302,2.751,5.036,1.918,3.018,2.069,2.581,9.358,1.903,21.118,1.659,8.815,2.678,1.500,9.252,4.257,2.892,1.515
